t,n_vectors,mean_speed,median_speed,mean_abs_divergence,median_abs_divergence,mean_abs_curl,median_abs_curl,mean_gradient_magnitude,median_gradient_magnitude,mean_strain_magnitude,median_strain_magnitude,max_strain_magnitude,max_gradient_magnitude
0,288,5.78345658342358,4.644753751948887,0.02696213202559795,0.021594378538429736,0.01895244208274542,0.015889139496721327,0.03841669679735439,0.037286493054090535,0.03483798329204565,0.033704560569566486,0.10197700495283864,0.10573333952789019
1,287,3.9882561462384394,3.499583365683695,0.019221819538128085,0.015435931831598283,0.015153809691995531,0.011668585985898972,0.02900916132311299,0.02651132182323475,0.02558090765046346,0.023296619771222927,0.06184605862133364,0.0734831592472494
2,289,2.9088084622285777,1.9693739608668823,0.017063989449011857,0.008739321806930586,0.014019844062375149,0.008072428591549396,0.026439174791790497,0.016951109883860584,0.0231825593050758,0.014462967888385372,0.31175594600525425,0.34059885980842425
3,290,1.9078578360256113,1.8345302430029757,0.01161662609399858,0.009615608770400285,0.007249180761063378,0.005708267726004123,0.016240288131350467,0.015149495598434017,0.014796485388904377,0.01381217243763104,0.04065692349288154,0.040715703502494274
4,290,2.1725604707946395,1.7399350148806882,0.013726397328820574,0.009988119779154658,0.011228168126208058,0.008672146755270659,0.020652712781628686,0.018317902977207173,0.018242122001136136,0.015254161226078892,0.06277808281356183,0.07212045019525608
5,290,1.5331631725412307,1.3374337204230224,0.010690254889561502,0.007493822113610805,0.007700908611883444,0.0058468747651204455,0.01529544474142217,0.013630761341724095,0.01367986948179754,0.01208743217485738,0.05249523499452409,0.059687550282542884
6,289,4.682385994372852,3.316741153284545,0.018156638479756432,0.013326622545719147,0.023811585219344525,0.017146086692810047,0.03518045644696019,0.0312583285939886,0.02880943367846803,0.02563632319235034,0.08204289436479509,0.08594590250810101
7,289,7.415271583579338,6.465416810032442,0.039015408169516055,0.03170347600243985,0.031205688325674462,0.025594428181648254,0.05661667570164971,0.05036825371026804,0.049796508216480004,0.042757972646718316,0.33251656672013535,0.34412285047459035
8,284,5.354736451744607,4.656077691766452,0.025907000587883616,0.023166391291183377,0.02081497594554801,0.017642804607748985,0.038418424516315657,0.03726491825743775,0.03380149436478399,0.0321280142404315,0.082199167857686,0.08687374121049196
9,284,4.467372127138537,3.519676180477795,0.020320775967167103,0.015635173022747043,0.018248111427049536,0.013838842418044804,0.03263812355198619,0.029792939098444896,0.028436328726141182,0.025793798066223474,0.09366103927356456,0.10221865477694962
10,287,1.9837211859858805,1.5848070563912204,0.011951268802137783,0.009083944652229548,0.010906933577747848,0.008583308011293412,0.018824250320323033,0.01667059581337013,0.01624012353587233,0.013862287338689853,0.05552713867029066,0.061091920957201055
11,289,1.863311882668547,1.6068226949617108,0.011233423781439555,0.009086609782290945,0.008658991736480347,0.006403415277600287,0.016564193985185827,0.014670166230377446,0.014546967772117442,0.01300053571913635,0.045014243081018035,0.04665793008449357
12,286,1.8812228054580413,1.5299816236000248,0.010447592110976926,0.007838800881243745,0.008539640520200063,0.006766323652118447,0.015671006551694292,0.013618876663947076,0.013727755568039306,0.01198468231494218,0.06017420900814818,0.06026361225871934
